year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,salemonth,saleyear
2009,Porsche,Cayenne,S,SUV,automatic,wp1ab29p19la43542,ga,31,66858,off-white,tan,bmw alphera/alphera financial services,23900,23400,12,2014
2009,smart,fortwo,BRABUS coupe,Hatchback,automatic,wmeej31xx9k325466,fl,38,29137,white,gray,stadium toyota inc,5400,5500,12,2014
2009,Subaru,Forester,2.5X,SUV,automatic,jf2sh63619h714742,va,33,95248,gray,beige,sullivan auto trading inc,9425,9600,12,2014
2009,Subaru,Impreza,Outback Sport,Hatchback,manual,jf1gh63619g811732,ny,,106114,green,tan,goss dodge inc,7175,5600,12,2014
2009,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc13e49l477482,ny,2,131239,white,gray,lease plan usa,3250,1900,1,2015
2009,Pontiac,G6,GT,Sedan,automatic,1g2zh57n694116487,wa,,105814,gray,black,mid atlantic finance/clearwater,4875,3100,12,2014
2009,Nissan,Sentra,2,Sedan,automatic,3n1ab61e39l646406,nc,22,105327,black,gray,santander consumer,4100,4700,12,2014
2009,Nissan,Xterra,S,SUV,,5n1an08u99c515258,nc,4,84968,blue,gray,apple fcu,10850,9800,12,2014
2009,Saturn,Aura,XE,Sedan,automatic,1g8zs57b79f214347,az,21,87614,blue,gray,repo remarketing/vantage west credit union,5250,4200,1,2015
2009,smart,fortwo,BRABUS coupe,Hatchback,,wmeej31x69k259160,on,45,42166,red,gray,mercedes-benz,5075,3000,12,2014
2009,Subaru,Forester,2.5X,SUV,automatic,jf2sh61679h780408,fl,23,124831,white,beige,fiserv/independent bank,6150,6200,12,2014
2009,Pontiac,G6,Base,Sedan,automatic,1g2zj57b294239455,ga,24,82210,silver,black,bmw alphera/alphera financial services,5550,4900,12,2014
2009,Subaru,Impreza,2.5i,Hatchback,manual,jf1gh61609g820439,az,19,95533,gray,black,repo remarketing/vantage west credit union,5200,5200,1,2015
2009,Subaru,Impreza,2.5i,Hatchback,automatic,jf1gh61639h814399,fl,19,70588,red,black,fiserv/crescent bank & trust,7900,5000,12,2014
2009,Nissan,Versa,1.8 SL,Hatchback,automatic,3n1bc13e79l498813,nc,34,50373,blue,black,afg/champion cu,5775,6000,12,2014
2009,Pontiac,G6,Base,Sedan,automatic,1g2zg57n494116636,in,,69713,green,black,steve caldwell automotive llc,6750,7800,12,2014
2009,Nissan,Versa,1.8 SL,Hatchback,automatic,3n1bc13e79l354713,fl,,78857,black,black,auto magic,5175,7000,12,2014
2009,Pontiac,G8,Base,Sedan,automatic,6g2er57789l187390,co,,86482,burgundy,black,brandon financial inc,10950,7500,12,2014
2009,Pontiac,G6,Base,Sedan,automatic,1g2zj57k094238613,tx,27,133810,green,black,automotive remarketing inc,4275,3700,12,2014
2009,Pontiac,G5,Base,Coupe,manual,1g2al18h297139390,nc,2,112403,red,gray,dt credit corporation,3800,1600,12,2014
2009,Subaru,Forester,2.5X,SUV,manual,jf2sh63659g713163,ny,,65556,white,—,mid hudson subaru,11350,9400,12,2014
2009,Saturn,VUE,XE,SUV,automatic,3gscl33p19s622423,sc,26,55272,blue,tan,enterprise car sales,7900,6700,1,2015
2009,Subaru,Forester,2.5X Limited,SUV,automatic,jf2sh64699h762438,il,23,64472,black,black,myrddin fleet services,13050,12300,12,2014
2009,Pontiac,G6,Base,Sedan,automatic,1g2zj57b594268853,tx,,87682,white,gray,jerry's hyundai,5450,6500,12,2014
2009,Saturn,Aura,XE,Sedan,automatic,1g8zs57bx9f198578,fl,35,103938,charcoal,gray,santander consumer,4500,3800,12,2014
2009,Pontiac,Vibe,Base,Hatchback,automatic,5y2sp67019z460077,mi,3,124611,silver,black,remarketing by ge/michigan schools & govt cu,4950,4500,12,2014
2009,Saturn,Aura,XE,Sedan,automatic,1g8zs57b79f100915,il,,109276,gray,—,tyson motor corporation,4250,3900,12,2014
2009,Pontiac,G6,GT,Convertible,automatic,1g2zh361394192008,fl,39,71499,red,tan,jenkins mazda,6575,6000,1,2015
2009,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc13e39l469292,fl,41,40454,silver,black,grow financial fcu,5975,8400,12,2014
2009,Nissan,Versa,1.8 S,Sedan,automatic,3n1bc11e19l407487,il,,109895,beige,—,rock chevrolet,3675,3100,12,2014
2009,Saturn,Aura,XR,Sedan,automatic,1g8zx57749f205344,nc,28,72046,black,purple,myrddin fleet services,6725,6000,12,2014
2009,Saturn,Aura,XE,Sedan,automatic,1g8zs57b89f172786,nv,19,114709,silver,gray,remarketing of america,4025,3000,12,2014
2009,Pontiac,G6,GT,Coupe,,1g2zk17nx94270064,va,,101060,white,—,sheehy ford of warrenton,4625,5800,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t4be46k09r135755,oh,38,175115,black,gray,remarketing by ge/cardinal community cu  inc.,5625,6300,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t1be46k79u410824,ga,19,80018,silver,gray,wells fargo dealer services,8175,7300,12,2014
2009,Toyota,Prius,Base,Hatchback,,jtdkb20u497881730,va,,105376,silver,—,sports and imports inc,7525,7200,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t1be46k89u284621,nc,19,123500,gray,beige,dt credit corporation,7000,6200,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t1be46k79u402934,az,35,133632,silver,gray,remarketing by ge/flagship credit acceptance,6750,6400,12,2014
2009,Toyota,Prius,Touring,Hatchback,automatic,jtdkb20u993533669,il,21,104694,gray,gray,the hertz corporation,8075,7600,12,2014
2009,Toyota,Corolla,S,Sedan,automatic,1nxbu40e49z029924,va,25,118889,red,black,toyota of stafford,7375,7700,12,2014
2009,Toyota,Corolla,LE,Sedan,automatic,1nxbu40e79z025284,ga,27,148546,beige,tan,wells fargo dealer services,5975,6500,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t1be46k39u869526,fl,26,121474,white,gray,nicholas financial inc/clearwater,7100,7600,12,2014
2009,Toyota,Corolla,S,Sedan,automatic,1nxbu40ex9z085561,fl,35,69933,silver,black,capital one auto finance,8300,9500,12,2014
2009,Toyota,Camry,XLE V6,Sedan,automatic,4t1bk46k19u086634,va,27,93712,black,beige,dt credit corporation,7950,8700,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t4be46k19r106877,pa,35,65038,gray,gray,sports car leasing,8575,8700,12,2014
2009,Toyota,Camry,Base,Sedan,automatic,4t1be46k59u356374,ny,19,63288,blue,gray,gucci services inc,8750,8400,12,2014
2009,Toyota,Prius,Touring,Hatchback,automatic,jtdkb20u697828284,la,22,97824,blue,gray,baldwin motors inc,8775,7000,12,2014
2009,Toyota,Camry,SE,Sedan,automatic,4t1be46k19u274027,ca,,96228,silver,gray,lithia hyundai of fresno,8500,10700,12,2014
2009,Toyota,Camry,XLE V6,Sedan,automatic,4t1bk46k29u078087,va,34,96324,gray,gray,safford chrysler jeep dodge of fredericksburg,7925,8700,12,2014
2009,Toyota,Camry,Base,Sedan,automatic,jtnbe46k993173081,ca,,124020,silver,—,jessup cad buick pont gmc saab/hummer chev,7075,8100,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t1be46k99u306089,sc,,119972,blue,gray,andrew thomas motorcars,7125,8100,12,2014
2009,Subaru,Outback,2.5i Limited,Wagon,automatic,4s4bp66c197319920,nv,28,98096,blue,black,findlay hyundai subaru,10450,11400,12,2014
2009,Toyota,Camry Hybrid,Base,Sedan,automatic,4t1bb46k79u099386,ga,37,94571,black,gray,young motors llc,9500,10200,1,2015
2009,Toyota,Camry,Base,Sedan,automatic,4t1be46k29u895177,tx,43,105590,gold,gray,caprock auto remarketing,7600,8200,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t4be46k69r057434,mn,21,110868,blue,gray,exeter finance corp,7325,6000,12,2014
2009,Toyota,Sienna,LE 7-Passenger,Minivan,automatic,5tdzk23c79s271828,ca,19,29177,silver,gray,global motors,10400,6400,12,2014
2009,Toyota,Sienna,LE 7-Passenger,Minivan,automatic,5tdzk23c99s287738,mn,,213017,blue,gray,walker quality sales,4675,4500,12,2014
2009,Toyota,Highlander Hybrid,Limited,SUV,automatic,jteew44a792035050,fl,39,106858,white,beige,firkins chrysler jeep dodge,16400,15500,12,2014
2009,Toyota,Corolla,LE,Sedan,automatic,1nxbu40e89z077684,nv,,69641,silver,—,jersey's auto sales,7150,8400,12,2014
2009,Toyota,Camry,LE,Sedan,automatic,4t4be46k39r118657,ne,39,129328,white,tan,lexus of lincoln,6900,7500,12,2014
2009,Toyota,RAV4,Limited,SUV,automatic,2t3bf31v89w022467,co,,32267,silver,gray,diamond automotive group,11950,16300,12,2014
